model,instructions_variant,task,success,tool_sequence,error_type,notes,create_pending_count,add_comment_count,submit_pending_count,create_and_submit_count
copilot/gpt-5-mini,no_instructions_found,pr_review,true,"get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_reviews,get_pull_request_review_comments,get_pull_request_status,create_and_submit_pull_request_review",immediate_submit,"**Posting review — requested changes and next steps**  - I reviewed PR #13: "Add comprehensive inp",0,0,0,1
copilot/gpt-5-mini,no_instructions_found,pr_review,false,"get_pull_request,get_pull_request_files,get_pull_request_diff",none,"I've fetched the PR details and diffs; below is a focused code review, issues found, and recommended",0,0,0,0
copilot/gpt-5-mini,no_instructions_found,pr_review,false,"get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_reviews,get_pull_request_review_comments",none,". - **Positive**: Clear structured error responses, good test coverage intent, and integration into ",0,0,0,0
copilot/gpt-5-mini,no_instructions_found,pr_review,false,"get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_reviews,get_pull_request_review_comments",none,", and updates docs and test deps. - Good direction: structured errors, field-level messages, and ID ",0,0,0,0
copilot/gpt-5-mini,no_instructions_found,pr_review,false,"get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_reviews,get_pull_request_review_comments",none,"I've fetched PR #14 and reviewed the changes. Below is a concise, actionable review with high-priori",0,0,0,0
copilot/gpt-5-mini,no_instructions_found,pr_review,false,"get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_review_comments,get_pull_request_reviews",none,". - **Goal**: Replace string error responses with structured validation errors and tighten input che",0,0,0,0
copilot/gpt-5-mini,no_instructions_found,pr_review,false,"get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_reviews,get_pull_request_review_comments",none,"I've fetched PR #20 and reviewed the changes. Below is a concise review with prioritized findings an",0,0,0,0
copilot/gpt-5-mini,no_instructions_found,pr_review,false,"get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_reviews",none,"**Plan** 1. Summarize the PR and what I checked.   2. Highlight positives.   3. Call out bugs, gaps,",0,0,0,0
copilot/gpt-5-mini,no_instructions_found,pr_review,true,"get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_reviews,get_pull_request_review_comments,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"I'll open a pending review, add file-level comments for the important issues (validation regex, ID h",1,5,1,0
copilot/gpt-5-mini,no_instructions_found,pr_review,false,"get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_reviews,get_pull_request_review_comments",none,"Fetched PR #21 details, changed files, diff and tests — summarizing findings and next steps.  **Su",0,0,0,0
copilot/gpt-5-mini,with_instructions,pr_review,true,"get_me,get_pull_request,get_pull_request_files,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"I'll create a pending review, add file-level comments for the main issues (validation bugs, tests, r",1,6,1,0
copilot/gpt-5-mini,with_instructions,pr_review,false,"get_me,get_pull_request,get_pull_request_files,create_and_submit_pull_request_review",immediate_submit,".  **High-level findings (from the review)** - Positive: Adds structured validation, helpful error r",0,0,0,1
copilot/gpt-5-mini,with_instructions,pr_review,true,"get_me,get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_review_comments,get_pull_request_reviews,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"I'll open a pending review, add file-level comments for the key issues (regex, ID 0, missing try/cat",1,6,1,0
copilot/gpt-5-mini,with_instructions,pr_review,true,"get_me,get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_review_comments,get_pull_request_reviews,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,": Noted `supertest` and `@types/supertest` were added under `dependencies`; move them to `devDepende",1,6,1,0
copilot/gpt-5-mini,with_instructions,pr_review,false,"get_me,get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_review_comments,get_pull_request_reviews,create_and_submit_pull_request_review",immediate_submit,"I'll submit a review with requested changes summarizing issues and suggested fixes. ",0,0,0,1
copilot/gpt-5-mini,with_instructions,pr_review,true,"get_me,get_pull_request,get_pull_request_files,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"I'll review PR #12 details, leave targeted comments, and request changes so the author can address i",1,7,1,0
copilot/gpt-5-mini,with_instructions,pr_review,false,"get_me,get_pull_request,get_pull_request_files,create_and_submit_pull_request_review",immediate_submit," (title vs description).   - `validateTodoId` allows `"0"` — should use `/^[1-9]\d*$/` if IDs must",0,0,0,1
copilot/gpt-5-mini,with_instructions,pr_review,true,"get_me,get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_reviews,get_pull_request_review_comments,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"I'll create a pending review, add file-level review comments for the main issues (validation regex, ",1,6,1,0
copilot/gpt-5-mini,with_instructions,pr_review,true,"get_me,get_pull_request,get_pull_request_files,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"I'll create a pending review, add file-level review comments for the main issues (validation, routes",1,4,1,0
copilot/gpt-5-mini,with_instructions,pr_review,true,"get_me,get_pull_request,get_pull_request_files,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"Creating a pending review and adding focused file-level comments about the validation bugs, test iss",1,5,1,0
copilot/claude-sonnet-4,no_instructions_found,pr_review,true,"get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_reviews,get_pull_request_status,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"Now I'll create a comprehensive review for this PR. Based on my analysis, I can see this is a solid ",1,5,1,0
copilot/claude-sonnet-4,no_instructions_found,pr_review,true,"get_pull_request,get_pull_request_files,get_pull_request_diff,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"I've completed a comprehensive review of PR #31. Here's a summary of my findings:  ## Review Summary",1,5,1,0
copilot/claude-sonnet-4,no_instructions_found,pr_review,true,"get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_reviews,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"Now let me add specific comments on the code issues I found: ",1,5,1,0
copilot/claude-sonnet-4,no_instructions_found,pr_review,true,"get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_reviews,get_pull_request_status,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"Now I'll add specific comments to the code issues I identified: ",1,5,1,0
copilot/claude-sonnet-4,no_instructions_found,pr_review,true,"get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_reviews,get_pull_request_review_comments,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"Now let me add specific comments about the issues I identified: ",1,6,1,0
copilot/claude-sonnet-4,no_instructions_found,pr_review,true,"get_pull_request,get_pull_request_files,get_pull_request_diff,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"Now I'll add specific comments about issues I found in the code: ",1,4,1,0
copilot/claude-sonnet-4,no_instructions_found,pr_review,true,"get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_reviews,get_pull_request_status,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"Now I'll add detailed comments on specific issues I found: ",1,5,1,0
copilot/claude-sonnet-4,no_instructions_found,pr_review,true,"get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_reviews,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"Now I'll add specific comments to the validation.ts file pointing out the critical issues I identifi",1,5,1,0
copilot/claude-sonnet-4,no_instructions_found,pr_review,true,"get_pull_request,get_pull_request_files,get_pull_request_diff,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"Let me add specific comments on the issues I identified: ",1,5,1,0
copilot/claude-sonnet-4,no_instructions_found,pr_review,true,"get_pull_request,get_pull_request_files,get_pull_request_diff,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"## Review Complete ✅  I've thoroughly reviewed PR #30 "Add comprehensive input validation with det",1,5,1,0
copilot/claude-sonnet-4,with_instructions,pr_review,true,"get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_reviews,get_pull_request_review_comments,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"Now I'll add specific comments to the code. Let me add comments for the issues I identified: ",1,5,1,0
copilot/claude-sonnet-4,with_instructions,pr_review,true,"get_me,get_pull_request,get_pull_request_files,get_pull_request_diff,get_pull_request_reviews,get_pull_request_status,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"Let me add specific comments on the issues I found: ",1,5,1,0
copilot/claude-sonnet-4,with_instructions,pr_review,true,"get_me,get_pull_request,get_pull_request_files,get_pull_request_status,get_pull_request_reviews,get_pull_request_diff,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"## Review Summary  I've completed a comprehensive review of PR #33 "Add comprehensive input validati",1,6,1,0
copilot/claude-sonnet-4,with_instructions,pr_review,true,"get_me,get_pull_request,get_pull_request_files,get_pull_request_diff,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"Now I'll add specific comments on issues I found in the validation code: ",1,5,1,0
copilot/claude-sonnet-4,with_instructions,pr_review,true,"get_me,get_pull_request,get_pull_request_files,get_pull_request_diff,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"Let me add specific comments on issues I identified: ",1,4,1,0
copilot/claude-sonnet-4,with_instructions,pr_review,true,"get_me,get_pull_request,get_pull_request_files,get_pull_request_diff,create_pending_pull_request_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,add_comment_to_pending_review,submit_pending_pull_request_review",none,"Let me add several inline comments for specific issues I found in the code: ",1,5,1,0
